email,name,organization,type
info@h2hnetwork.com,House2House Ministries,House Church Network,house church
contact@simplechurch.com,Simple Church International,Simple Church Network,house church
info@organicchurch.org,Organic Church Movement,Organic Church,house church
admin@ntchurchrestoration.com,NT Church Restoration,Church Restoration,restoration
contact@fivefoldministry.org,Five Fold Ministry Network,Five Fold Ministry,fivefold
info@kingdomministries.org,Kingdom Ministries International,Kingdom Ministry,kingdom
admin@ekklesia.life,Ekklesia Life,Ekklesia Teaching,ekklesia
contact@apostolicnetwork.org,Apostolic Network International,Apostolic Ministry,fivefold
info@propheticministry.org,Prophetic Ministry Network,Prophetic Ministry,fivefold
admin@kingdomlifechurch.org,Kingdom Life Church,Kingdom Ministry,kingdom
info@housechurchministries.org,House Church Ministries,House Church Network,house church
contact@spiritualgifts.net,Spiritual Gifts Ministry,Charismatic Teaching,fivefold
admin@restorationchurch.net,Restoration Church Network,Church Restoration,restoration
info@newtestamentchurch.org,New Testament Church Network,NT Church,ekklesia
contact@homechurch.org,Home Church Network,Home Church,house church
