timestamp,email,organization,status
2026-03-18T21:28:00Z,info@h2hnetwork.com,House2House Network,sent
2026-03-18T21:28:01Z,contact@simplechurch.com,Simple Church Network,sent
2026-03-18T21:28:02Z,info@organicchurch.org,Organic Church,sent
2026-03-18T21:28:03Z,admin@ntchurchrestoration.com,Church Restoration Ministry,sent
2026-03-18T21:28:04Z,contact@fivefoldministry.org,Five Fold Ministry,sent
2026-03-18T21:28:05Z,info@housechurch.org,House Church,sent
2026-03-18T21:28:06Z,admin@simplechurch.eu,European House Church Network,sent
2026-03-18T21:28:07Z,contact@kingdomministries.org,Kingdom Teaching,sent
2026-03-18T21:28:08Z,info@organicchurch.com,Organic Church Movement,sent
2026-03-18T21:28:09Z,admin@restorationchurch.net,Church Restoration,sent
2026-03-18T21:28:10Z,contact@houseoffaith.org,Home Church Network,sent
2026-03-18T21:28:11Z,info@newtestamentchurch.org,NT Church Movement,sent
2026-03-18T21:28:12Z,admin@ekklesia.life,Ekklesia Teaching,sent
2026-03-18T21:28:13Z,contact@fivefoldministry.com,Apostolic Training,sent
2026-03-18T21:28:14Z,info@kingdomlifechurch.org,Kingdom Ministry,sent
2026-03-18T21:28:15Z,admin@spiritualgifts.net,Charismatic Teaching,sent
2026-03-18T21:28:16Z,contact@housechurchministries.org,Home Church Network,sent
2026-03-18T21:28:17Z,info@apostolicnetwork.org,Apostolic Ministry,sent
2026-03-18T21:28:18Z,admin@propheticministry.org,Prophetic Training,sent
2026-03-18T21:28:19Z,contact@evangelism.org,Evangelistic Ministry,sent
